time; movement_id; state
897.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
900.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
902.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
908.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
911.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
913.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
917.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
920.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
922.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
926.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
929.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
931.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
939.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
942.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
944.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
948.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
951.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
953.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
958.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
961.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
963.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
967.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
970.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
972.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
981.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
984.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
986.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
990.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
993.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
995.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1001.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1004.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1006.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1010.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1013.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1015.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1025.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1028.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1030.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1034.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1037.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1039.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1045.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1048.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1050.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1054.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1057.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1059.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1070.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1073.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1075.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1079.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1082.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1084.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1090.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1093.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1095.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1099.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1102.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1104.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1116.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1119.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1121.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1125.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1128.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1130.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1135.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1138.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1140.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1144.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1147.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1149.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1162.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1165.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1167.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1171.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1174.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1176.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1181.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1184.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1186.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1190.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1193.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1195.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1208.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1211.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1213.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1217.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1220.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1222.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1227.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1230.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1232.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1236.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1239.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1241.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1255.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1258.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1260.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1264.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1267.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1269.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1274.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1277.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1279.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1283.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1286.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1288.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1303.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1306.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1308.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1312.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1315.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1317.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1322.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1325.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1327.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1331.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1334.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1336.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1351.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1354.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1356.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1360.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1363.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1365.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1371.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1374.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1376.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1380.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1383.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1385.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1399.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1402.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1404.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1408.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1411.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1413.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1419.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1422.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1424.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1428.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1431.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1433.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1447.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1450.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1452.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1456.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1459.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1461.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1466.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1469.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1471.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1475.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1478.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1480.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1494.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1497.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1499.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1503.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1506.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1508.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1513.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1516.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1518.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1522.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1525.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1527.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1542.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
1545.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1547.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
1551.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
1554.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1556.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
1561.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
1564.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1566.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
1570.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
1573.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
1575.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
1590.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
